iter	Passed	Remaining
0	60	60482
1	60	30408
2	61	20375
3	61	15350
4	61	12334
5	62	10332
6	62	8892
7	63	7814
8	63	6978
9	63	6307
10	64	5758
11	64	5302
12	64	4914
13	65	4583
14	65	4295
15	65	4043
16	66	3822
17	66	3625
18	66	3448
19	67	3289
20	67	3145
21	67	3017
22	68	2900
23	68	2790
24	68	2689
25	69	2595
26	69	2507
27	69	2427
28	70	2351
29	70	2281
30	70	2215
31	71	2155
32	71	2096
33	71	2042
34	72	1992
35	72	1945
36	73	1900
37	73	1856
38	73	1814
39	73	1774
40	74	1738
41	74	1701
42	74	1667
43	75	1634
44	75	1602
45	75	1572
46	76	1543
47	76	1516
48	76	1489
49	77	1463
50	77	1438
51	77	1414
52	77	1392
53	78	1371
54	78	1350
55	78	1329
56	79	1309
57	79	1290
58	79	1272
59	80	1254
60	80	1237
61	80	1220
62	80	1204
63	81	1188
64	81	1174
65	81	1160
66	82	1145
67	82	1128
68	82	1115
69	82	1102
70	83	1089
71	83	1077
72	83	1065
73	84	1061
74	85	1049
75	85	1037
76	85	1026
77	85	1015
78	86	1004
79	86	994
80	86	985
81	87	975
82	87	965
83	87	955
84	87	945
85	88	936
86	88	925
87	88	917
88	88	908
89	89	900
90	89	892
91	89	884
92	89	877
93	90	869
94	90	862
95	90	855
96	91	847
97	91	841
98	91	834
99	91	827
100	92	821
101	92	813
102	92	806
103	92	800
104	93	794
105	93	788
106	93	782
107	94	777
108	94	771
109	94	765
110	94	760
111	95	755
112	95	749
113	95	744
114	96	739
115	96	733
116	96	728
117	96	723
118	96	717
119	97	712
120	97	708
121	97	703
122	97	697
123	98	692
124	98	688
125	98	684
126	98	680
127	99	675
128	99	671
129	99	667
130	99	663
131	100	659
132	100	655
133	100	651
134	101	647
135	101	643
136	101	640
137	101	635
138	102	633
139	102	629
140	102	626
141	103	622
142	103	619
143	103	615
144	103	612
145	104	609
146	104	605
147	104	602
148	104	599
149	105	595
150	105	592
151	105	589
152	105	586
153	106	583
154	106	580
155	106	578
156	107	575
157	107	572
158	107	569
159	107	566
160	108	563
161	108	561
162	108	558
163	108	555
164	109	552
165	109	550
166	109	547
167	110	544
168	110	542
169	110	539
170	110	536
171	111	534
172	111	531
173	111	529
174	111	527
175	112	524
176	112	522
177	112	520
178	112	517
179	113	515
180	113	512
181	113	510
182	113	508
183	114	505
184	114	503
185	114	501
186	114	499
187	115	497
188	115	495
189	115	493
190	115	491
191	116	489
192	116	487
193	116	485
194	117	483
195	117	481
196	117	479
197	117	477
198	118	475
199	118	473
200	118	471
201	118	469
202	119	467
203	119	465
204	119	464
205	119	462
206	120	460
207	120	458
208	120	457
209	121	455
210	121	453
211	121	451
212	121	450
213	122	448
214	122	446
215	122	445
216	123	443
217	123	442
218	123	440
219	123	439
220	124	437
221	124	436
222	124	434
223	124	432
224	125	431
225	125	429
226	125	428
227	126	427
228	126	425
229	126	424
230	127	423
231	127	422
232	127	420
233	128	419
234	128	417
235	128	416
236	128	414
237	129	413
238	129	412
239	129	410
240	129	409
241	130	407
242	130	406
243	130	405
244	131	403
245	131	402
246	131	401
247	131	399
248	132	398
249	132	397
250	132	395
251	132	394
252	133	393
253	133	392
254	133	390
255	133	389
256	134	388
257	134	386
258	134	385
259	135	384
260	135	383
261	135	381
262	135	380
263	136	379
264	136	378
265	136	377
266	137	376
267	137	374
268	137	373
269	137	372
270	138	371
271	138	370
272	138	369
273	139	368
274	139	367
275	139	366
276	140	365
277	140	364
278	140	363
279	140	362
280	141	361
281	141	360
282	141	359
283	141	357
284	142	356
285	142	355
286	142	354
287	142	353
288	143	352
289	143	351
290	143	350
291	144	349
292	144	348
293	144	347
294	144	346
295	145	345
296	145	344
297	145	343
298	146	342
299	146	341
300	146	340
301	146	339
302	147	338
303	147	337
304	147	336
305	147	335
306	148	334
307	148	333
308	148	332
309	148	331
310	149	330
311	149	329
312	149	328
313	150	327
314	150	326
315	150	326
316	150	325
317	151	324
318	151	323
319	151	322
320	152	321
321	152	320
322	152	319
323	152	318
324	153	317
325	153	316
326	153	316
327	153	315
328	154	314
329	154	313
330	154	312
331	155	312
332	155	311
333	155	310
334	155	309
335	156	308
336	156	308
337	156	307
338	157	306
339	157	305
340	157	304
341	158	304
342	158	303
343	158	302
344	158	301
345	159	300
346	159	299
347	159	299
348	160	298
349	160	297
350	160	296
351	160	296
352	161	295
353	161	294
354	161	293
355	161	292
356	162	292
357	162	291
358	162	290
359	163	289
360	163	289
361	163	288
362	163	287
363	164	286
364	164	285
365	164	285
366	164	284
367	165	283
368	165	282
369	165	282
370	166	281
371	166	280
372	166	280
373	166	279
374	167	278
375	167	278
376	168	277
377	168	277
378	168	276
379	168	275
380	169	274
381	169	274
382	169	273
383	170	272
384	170	272
385	170	271
386	170	270
387	171	270
388	171	269
389	171	268
390	172	267
391	172	267
392	172	266
393	172	266
394	173	265
395	173	264
396	173	264
397	174	263
398	174	262
399	174	262
400	174	261
401	175	260
402	175	260
403	175	259
404	176	258
405	176	258
406	176	257
407	176	256
408	177	256
409	177	255
410	177	254
411	178	254
412	178	253
413	178	252
414	179	252
415	179	251
416	179	251
417	179	250
418	180	249
419	180	249
420	180	248
421	181	248
422	181	247
423	181	247
424	182	246
425	182	245
426	182	245
427	183	244
428	183	243
429	183	243
430	183	242
431	184	242
432	184	241
433	184	241
434	185	240
435	185	239
436	185	239
437	186	238
438	186	238
439	186	237
440	186	236
441	187	236
442	187	235
443	187	235
444	188	234
445	188	234
446	188	233
447	189	232
448	189	232
449	189	231
450	189	231
451	190	230
452	190	230
453	190	229
454	191	228
455	191	228
456	191	227
457	191	227
458	192	226
459	192	225
460	192	225
461	193	224
462	193	224
463	193	223
464	194	223
465	194	222
466	194	222
467	195	221
468	195	221
469	195	220
470	196	220
471	196	219
472	196	219
473	197	218
474	197	218
475	197	217
476	198	217
477	198	216
478	198	215
479	198	215
480	199	214
481	199	214
482	199	213
483	199	213
484	200	212
485	200	211
486	200	211
487	200	210
488	201	210
489	201	209
490	201	209
491	201	208
492	202	208
493	202	207
494	202	206
495	203	206
496	203	205
497	203	205
498	203	204
499	204	204
500	204	203
501	204	203
502	204	202
503	205	201
504	205	201
505	205	200
506	206	200
507	206	199
508	206	199
509	206	198
510	207	198
511	207	197
512	207	197
513	207	196
514	208	196
515	208	195
516	208	195
517	208	194
518	209	193
519	209	193
520	209	192
521	209	192
522	210	191
523	210	191
524	210	190
525	211	190
526	211	189
527	211	189
528	211	188
529	212	188
530	212	187
531	212	187
532	212	186
533	213	186
534	213	185
535	213	185
536	214	184
537	214	184
538	214	183
539	214	182
540	215	182
541	215	181
542	215	181
543	215	180
544	216	180
545	216	180
546	216	179
547	217	179
548	217	178
549	217	178
550	217	177
551	218	177
552	218	176
553	218	176
554	218	175
555	219	175
556	219	174
557	219	174
558	220	173
559	220	173
560	220	172
561	220	172
562	221	171
563	221	171
564	221	170
565	221	170
566	222	169
