iter	Passed	Remaining
0	59	59344
1	59	29840
2	60	19982
3	60	15056
4	60	12100
5	61	10126
6	61	8718
7	61	7658
8	62	6837
9	62	6178
10	62	5640
11	63	5201
12	63	4819
13	63	4495
14	64	4211
15	64	3963
16	64	3746
17	65	3551
18	65	3377
19	65	3221
20	66	3080
21	66	2951
22	66	2836
23	67	2729
24	67	2630
25	67	2539
26	68	2458
27	68	2381
28	68	2307
29	69	2238
30	69	2172
31	69	2111
32	70	2055
33	70	2001
34	70	1952
35	71	1905
36	71	1859
37	71	1816
38	72	1775
39	72	1735
40	72	1698
41	72	1662
42	73	1629
43	73	1598
44	73	1568
45	74	1538
46	74	1509
47	74	1484
48	75	1458
49	75	1434
50	75	1409
51	76	1385
52	76	1362
53	76	1341
54	76	1320
55	77	1300
56	77	1282
57	77	1263
58	78	1245
59	78	1228
60	78	1211
61	79	1196
62	79	1180
63	79	1166
64	80	1151
65	80	1138
66	80	1124
67	81	1110
68	81	1097
69	81	1085
70	82	1073
71	82	1060
72	82	1049
73	83	1038
74	83	1027
75	83	1015
76	83	1004
77	84	994
78	84	983
79	84	973
80	84	962
81	85	953
82	85	941
83	85	932
84	85	924
85	86	915
86	86	906
87	86	898
88	86	890
89	87	882
90	87	874
91	87	866
92	88	858
93	88	851
94	88	844
95	88	836
96	89	830
97	89	824
98	89	817
99	90	810
100	90	804
101	90	797
102	90	791
103	91	785
104	91	779
105	91	773
106	91	767
107	92	761
108	92	756
109	92	751
110	93	745
111	93	741
112	93	735
113	93	730
114	94	725
115	94	720
116	94	714
117	94	709
118	95	704
119	95	700
120	95	695
121	95	690
122	96	685
123	96	681
124	96	676
125	96	672
126	97	668
127	97	663
128	97	659
129	97	655
130	98	651
131	98	648
132	98	644
133	99	640
134	99	636
135	99	632
136	99	629
137	100	626
138	100	622
139	100	618
140	101	615
141	101	611
142	101	607
143	101	604
144	101	601
145	102	598
146	102	595
147	102	592
148	103	589
149	103	586
150	103	583
151	104	580
152	104	577
153	104	574
154	104	572
155	105	569
156	105	566
157	105	563
158	106	560
159	106	557
160	106	554
161	106	552
162	106	549
163	107	546
164	107	544
165	107	541
166	108	539
167	108	536
168	108	534
169	108	531
170	109	529
171	109	527
172	109	525
173	110	522
174	110	520
175	110	517
176	110	515
177	111	513
